id,type,subtype,price,Transaction Type,zip,KitchenType,constructionYear,Building_condition,energy_heatingType,Energy Consumption Level,bedroom_count,Land_surface,Attic_Exists,Basement_Exists,Garden_surface,Outdoor_terrace_exists,Specificities SME office exists,Wellness Equipment Swimming Pool,Parking Space Count indoor,Parking SpaceCount outdoor,Condition is Newly Built,date
10146915,apartment,apartment,339000,forsale,9890,hyperequipped,2021,asnew,gas,1,2,,,,,true,,,,,1,10/18/22
10156372,apartment,apartment,395000,forsale,1140,usahyperequipped,2022,asnew,gas,54,3,,,true,,true,,,1,,1,10/18/22
10154682,apartment,apartment,965000,forsale,1150,usahyperequipped,2021,asnew,gas,55,3,,,,,true,,,1,,1,10/18/22
10157770,apartment,apartment,249000,forsale,1800,installed,2010,good,gas,88,2,,,true,,true,,,1,,,10/18/22
10157545,apartment,apartment,325000,forsale,8380,hyperequipped,1967,asnew,gas,99,2,,,,,true,,,,,,10/18/22
10157660,apartment,duplex,369000,forsale,9000,usahyperequipped,2007,good,gas,127,2,,true,,,true,,,,,,10/18/22
10157528,apartmentgroup,apartmentgroup,435000-645000,forsale,1050,,,,,113,,,,,,,,,,,1,10/18/22
10157565,apartment,penthouse,595000,forsale,1040,hyperequipped,1964,torenovate,gas,453,4,,,true,,true,true,,,,,10/18/22
10157563,apartment,duplex,595000,forsale,1040,hyperequipped,1964,torenovate,gas,453,4,,,true,,true,true,,,,,10/18/22
10157831,apartmentgroup,apartmentgroup,1700000-1700000,forsale,1050,,,,,65,,,,,,,,,1,1,1,10/18/22
10157787,apartmentgroup,apartmentgroup,1700000-1700000,forsale,1060,,,,,65,,,,,,,,,1,1,1,10/18/22
10156769,apartment,apartment,105000,forsale,7500,semiequipped,1971,torenovate,gas,291,2,,,,,true,,,,,,10/18/22
10155618,apartment,apartment,137500,forsale,1030,installed,2004,good,electric,527,1,,,,,true,,,,,,10/18/22
10156202,apartment,apartment,169500,forsale,4520,semiequipped,1969,good,gas,244,2,,,true,,true,,,1,,,10/18/22
10155476,apartment,apartment,170000,forsale,4500,installed,2000,good,gas,188,2,,,true,,,,,,,,10/18/22
9881253,apartmentgroup,apartmentgroup,195500-265500,forsale,1000,,,,,,,,,,,,,,,,1,10/18/22
10155629,apartment,apartment,235000,forsale,1000,usahyperequipped,2009,good,electric,220,1,,,true,,true,,,1,,,10/18/22
10156573,apartmentgroup,apartmentgroup,255000-440000,forsale,8434,,,,,,,,,,,,,,,,1,10/18/22
10155621,apartment,apartment,265000,forsale,1000,usahyperequipped,2014,good,electric,229,2,,,,,true,,,,,,10/18/22
10156246,apartmentgroup,apartmentgroup,279000-299000,forsale,2260,,,,,,,,,,,,,,,,1,10/18/22
10155633,apartment,apartment,319000,forsale,1160,usahyperequipped,2001,good,electric,232,2,,,,,true,,,,,,10/18/22
10154548,apartment,apartment,320000,forsale,4000,installed,1918,asnew,gas,126,2,,,true,,true,,,,,,10/18/22
10154735,apartmentgroup,apartmentgroup,359000-419000,forsale,8700,,,,,,,,,,,,,,6,6,1,10/18/22
10154732,apartment,apartment,395000,forsale,9000,usainstalled,2002,good,gas,92,2,,,true,,true,,,,1,,10/18/22
10092917,apartmentgroup,apartmentgroup,430500-686000,forsale,1000,,,,,,,,,,,,,,,,1,10/18/22
10154635,apartmentgroup,apartmentgroup,489000-849000,forsale,1050,,,,,224,,,,,,,,,1,1,1,10/18/22
10156559,apartmentgroup,apartmentgroup,495000-580000,forsale,1140,,,,,70,,,,,,,,,,,1,10/18/22
10152126,apartment,apartment,189000,forsale,9100,usahyperequipped,2019,asnew,gas,113,1,,,true,,true,,,1,,,10/18/22
10151772,apartmentgroup,apartmentgroup,263000-263000,forsale,1490,,,,,,,,,,,,,,,70,1,10/18/22
10152027,apartment,duplex,299000,forsale,1760,usahyperequipped,2003,asnew,gas,167,3,,,,,true,,,,,,10/18/22
10158182,house,house,240000,forsale,5300,installed,,justrenovated,fueloil,299,2,300,true,true,,true,true,,1,2,,10/18/22
9625357,house,house,131000,forsale,2550,notinstalled,1930,,gas,371,3,1664,,true,1100,true,,,1,,,10/18/22
10158172,apartment,apartment,260000,forsale,8870,installed,2020,good,gas,47,2,,,,,true,,,,,,10/18/22
10158154,house,house,290000,forsale,7900,installed,2021,,gas,,3,515,true,,,,,,,2,1,10/18/22
10158153,house,bungalow,445000,forsale,1410,hyperequipped,1973,good,electric,555,2,681,true,,500,true,,,2,3,,10/18/22
10158149,apartment,flatstudio,59000,forsale,4000,notinstalled,,tobedoneup,,251,1,,,,,,,,,,,10/18/22
9641565,house,house,184000,forsale,2550,,,good,gas,,5,155,,true,,true,,,,1,,10/18/22
10121293,house,house,275000,forsale,1420,,,torenovate,fueloil,515,2,207,,,100,,true,,,,,10/18/22
10153924,apartment,apartment,310000,forsale,9040,hyperequipped,2010,good,gas,120,2,,,true,,true,,,1,,,10/18/22
10153732,apartment,apartment,319000,forsale,1060,usainstalled,1965,good,gas,219,1,,,true,,,,,,,,10/18/22
10151854,apartmentgroup,apartmentgroup,333400-451250,forsale,9070,,,,,,,,,,,,,,1,8,1,10/18/22
